Company Name,Last Update of this Information,Contact Email,Logo,Website,Country of HQ,Countries of Operation / Service,Company Size (# Employees),Year Founded,Legal Entity Name,Primary Focus,Subdomains,Technologies,Service Type,Target Customer,Short Description (about 500 words)
Main Concept (HPC Video),2025-07-30,info@mainconcept.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/object%20telephone.svg,https://www.mainconcept.com/,Germany,Global,60,1993,MainConcept GmbH,Video Encoding & HPC Software,Video Processing; Transcoding; Codecs;,HEVC; VVC; AV1; AVX-512;,Software; SDKs; Plugins;,Media; Broadcast; Streaming Providers;,"MainConcept is a leading provider of high-quality video and audio codecs and processing components. In the realm of HPC, MainConcept offers specialized software development kits (SDKs) that are highly optimized for multi-core processors and specialized instruction sets like Intel AVX-512.

Their technology is used by high-performance broadcasting and streaming platforms to deliver ultra-high-definition content at scale. By leveraging HPC infrastructure, MainConcept's encoders can process massive amounts of video data in real-time or with significantly reduced turnaround times.

The company's focus on efficiency and performance makes it a key partner for media companies looking to optimize their processing workflows while maintaining the highest visual quality. With decades of experience in codec development, MainConcept continues to innovate with the latest standards like VVC and AV1, ensuring that European video technology remains at the cutting edge of global media distribution."
ParTec,2025-11-25,info@par-tec.com,https://par-tec.com/wp-content/themes/partec/assets/images/logo.svg,https://par-tec.com/,Germany,EU,80,1999,ParTec AG,HPC Software & Engineering,Modular Supercomputing; Runtime Systems;,ParaStation MPI; Cluster Management;,Software; Support; Services;,Supercomputing Centers; Government; Research;,"ParTec is a German HPC company specializing in the design, construction, and management of complex supercomputer systems. They are pioneers of the Modular Supercomputing Architecture (MSA), which allows different types of compute modules (like CPUs, GPUs, and quantum processors) to be seamlessly integrated into a single system.

ParTec's flagship software product, ParaStation MPI, is a high-performance communication layer that provides the scalability and low latency required for exascale computing. The company is a key partner in the EuroHPC JUPITER project, Europe's first exascale supercomputer.

ParTec provides not only software but also extensive engineering services, from system design to operational support, ensuring that large-scale systems are optimized for scientific research. Their focus on modularity and open standards makes them a central player in the development of a sovereign European HPC infrastructure, capable of integrating a wide variety of emerging technologies."
Quobly,2025-06-15,contact@quobly.io,https://quobly.io/logo.svg,https://quobly.io/,France,EU,30,2022,Quobly SAS,Quantum Computing Hardware,Silicon Spin Qubits; Semiconductor Quantum;,FD-SOI; CMOS; Cryogenics;,Hardware; IP;,System Integrators; Research;,"Quobly (formerly Siquance) is a French quantum computing startup that leverages the enormous power of the semiconductor industry to build quantum processors. Based in Grenoble, Quobly uses silicon spin qubit technology, which is compatible with standard CMOS manufacturing processes.

This approach offers a clear path to mass-producing qubits, potentially scaling to millions of qubits much more easily than other technologies. Quobly's mission is to build a high-performance quantum computer that can be manufactured using existing European semiconductor foundries.

By bridging the gap between quantum physics and industrial-scale manufacturing, Quobly aims to provide the hardware foundation for the next generation of computing. The company is a spin-off from CEA and CNRS, benefiting from decades of research in silicon electronics and quantum physics. Their focus on the ""quantum dot"" approach positions them uniquely in the European ecosystem as a hardware provider with a highly scalable roadmap."
Gcore,2025-10-12,info@gcore.com,https://gcore.com/brand/logo.svg,https://gcore.com/,Luxembourg,Global,500,2014,Gcore S.A.,Edge AI & Cloud Infrastructure,AI Cloud; Edge Computing; CDN;,NVIDIA GPUs; Graphcore IPUs; Kubernetes;,Cloud Services; Edge AI; Managed Services;,Startups; Gaming; Enterprise;,"Gcore is an international provider of edge and cloud solutions, headquartered in Luxembourg. They offer a powerful AI Cloud platform that provides access to world-class hardware like NVIDIA GPUs and Graphcore IPUs, enabling companies of all sizes to train and deploy complex AI models.

Gcore's global network infrastructure, including a high-performance CDN and edge computing nodes, allows AI applications to be delivered with low latency to users worldwide. The company provides a full suite of managed services, from managed Kubernetes to AI-as-a-service, simplifying the deployment of AI-ready infrastructure.

Gcore's focus on building a sustainable and efficient cloud is reflected in their choice of data centers and hardware. By providing easy access to cutting-edge AI accelerators, Gcore is a vital enabler for the European AI startup ecosystem, providing the compute power needed to compete on a global scale."
Terraform Industries (EU),2025-05-20,eu@terraform.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/human%20sledding.svg,https://terraform.com/,Netherlands,Global,40,2021,Terraform Industries BV,HPC for Climate Modeling,Climate Simulation; Digital Twins; Sustainability;,Earth-2; AI-Accelerated Simulation;,Software-as-a-Service; Services;,Government; Insurance; Research;,"Terraform Industries (European division) specializes in using high-performance computing and AI to create accurate digital twins of the Earth's climate. Their platform enables researchers and policymakers to simulate various climate scenarios with unprecedented detail, helping to predict the impact of environmental changes and evaluate the effectiveness of mitigation strategies.

By combining traditional physical models with advanced machine learning techniques, Terraform Industries can deliver faster and more accurate simulations than previously possible. Their work is critical for industries like insurance and agriculture, which are highly sensitive to climate risks.

Based in the Netherlands, the company leverages the country's strong tradition in water management and climate research, collaborating with European supercomputing centers to run their massive workloads. Terraform's mission is to provide the data and insights necessary to build a more resilient and sustainable future, using the most advanced computing tools available."
Alice & Bob,2025-09-01,contact@alice-bob.com,https://alice-bob.com/logo.svg,https://alice-bob.com/,France,Global,80,2020,Alice & Bob SAS,Quantum Computing Hardware,Cat Qubits; Fault-Tolerant Quantum;,Superconducting circuits; Error Correction;,Hardware; Quantum Cloud;,Pharma; Finance; Industry;,"Alice & Bob is a French startup developing a universal error-corrected quantum computer. Their unique approach uses ""cat qubits,"" a type of superconducting qubit that has built-in resistance to bit-flip errors.

This architectural choice significantly reduces the overhead required for quantum error correction, which is the biggest hurdle to building a useful quantum computer. Alice & Bob's mission is to reach fault-tolerant quantum computing much faster than with traditional qubit designs.

The company is building a full quantum stack and offers access to their initial processors through a cloud platform. By focusing on reliability and scalability from the start, Alice & Bob aims to provide the compute power needed for applications like molecular simulation and complex optimization. Based in Paris, the company is a leading light in the French quantum ecosystem, attracting top talent and significant investment to build a sovereign European quantum advantage."
Scaleway,2025-08-20,press@scaleway.com,https://www.scaleway.com/static/scaleway-logo.svg,https://www.scaleway.com/,France,EU,600,1999,Scaleway SAS,AI Cloud & Sovereign Server,GPU Instances; Sovereign Cloud; AI Training;,NVIDIA H100; Kubernetes; Bare Metal;,Cloud-as-a-Service; Software;,Startups; Enterprise; Public Sector;,"Scaleway is a French cloud service provider that offers a wide range of infrastructure solutions, with a strong current focus on AI and high-performance computing. They operate one of the largest AI-dedicated GPU clusters in Europe, providing startups and researchers with access to the latest NVIDIA hardware, including H100 chips.

Scaleway emphasizes European data sovereignty and privacy, making it a preferred choice for companies concerned about where their data is processed. Their ecosystem includes managed Kubernetes, serverless functions, and high-performance storage, providing a complete platform for building and scaling AI applications.

Scaleway is also committed to environmental sustainability, operating some of the most energy-efficient data centers in France. By combining cutting-edge technology with a commitment to European values, Scaleway is a key infrastructure provider for the continent's digital economy."
Eurotech,2025-07-15,ir@eurotech.com,https://www.eurotech.com/img/eurotech-logo.svg,https://www.eurotech.com/,Italy,Global,400,1992,Eurotech SpA,Edge HPC & Industrial AI,Embedded Systems; Edge Computing; Rugged HPC;,Liquid Cooling; ARM architecture; IoT Platforms;,Hardware; Software; Systems;,Defense; Transport; Energy;,"Eurotech is an Italian multinational that specializes in the design and development of edge computers, industrial PCs, and high-performance embedded systems. In the context of HPC, Eurotech is known for its legendary Aurora supercomputers, which pioneered the use of hot water liquid cooling.

Today, the company focuses on bringing HPC capabilities to the edge—the ""Edge HPC."" Their systems are designed for extreme environments, providing high-density compute power for real-time AI applications in transportation, defense, and energy sectors.

Eurotech provides a full software stack (Everyware Software Framework) to manage and secure these edge devices at scale. Their expertise in liquid cooling and miniaturized HPC architecture allows them to deliver significant compute power in small, energy-efficient forms. Eurotech is a key contributor to European research projects and continues to push the boundaries of where supercomputing can be applied."
Orange (Orange Business),2025-06-30,contact@orange-business.com,https://www.orange-business.com/themes/custom/ob/logo.svg,https://www.orange-business.com/,France,Global,28000,1996,Orange Business Services SAS,Managed AI & Data Services,AI Consulting; Multi-cloud; Cybersecurity;,Analytics; ML Ops; Data Sovereignty;,Consulting; Managed Services; Cloud;,Enterprise; Public Sector; Global Corps;,"Orange Business, the enterprise division of the Orange Group, provides a comprehensive set of AI and data services to help organizations navigate their digital transformation.

Their offerings include AI strategy consulting, data management, and the implementation of machine learning operations (MLOps) platforms. Orange Business leverages its extensive network and cloud infrastructure to deliver secure and scalable AI solutions.

They have a strong focus on sovereign and trusted cloud environments, particularly important for European clients in sensitive sectors. By combining connectivity, cybersecurity, and data expertise, Orange Business enables companies to integrate AI into their business processes effectively. Their global reach and local presence in many European countries make them a major partner for large-scale AI deployments across the continent."
Atos (BullSequana),2025-05-15,info@bull.com,https://atos.net/wp-content/uploads/2016/06/atos-logo-menu.png,https://atos.net/,France,Global,100000,1997,Atos SE,Supercomputing Hardware,Exascale Computing; AI Infrastructure;,BullSequana XH series; Direct Liquid Cooling;,Hardware; Systems; Services;,Research; Weather; Energy; Defense;,"Atos, through its Bull brand, is Europe's leading manufacturer of supercomputers and a global player in the HPC market. Their BullSequana XH range is designed for the largest-scale simulations and AI workloads, powering many of the top supercomputing centers in the world.

Atos is at the forefront of the exascale race, developing systems with advanced liquid cooling and low-carbon footprints. Their expertise includes the entire HPC stack, from specialized interconnects and server blades to orchestration and energy management software.

Atos is also a key player in the European Processor Initiative, aiming to integrate European-designed chips into their systems. Beyond hardware, Atos provides extensive consulting and support services, helping scientific and industrial users optimize their applications for highly parallel architectures. As a cornerstone of the European tech landscape, Atos is vital for the continent's strategic autonomy in high-end computing."
SambaNova (EU Branch),2025-04-10,eu-sales@sambanova.ai,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/symbol%20folder%20container%20file%20open.svg,https://sambanova.ai/,USA/Germany,Global,500,2017,SambaNova Systems Germany GmbH,AI Full-Stack Systems,AI Accelerators; LLM Training; Reconfigurable Dataflow;,Cardinal SN30; DataScale; Dataflow Runtime;,Systems; Software; Cloud;,Finance; Research; Manufacturing;,"SambaNova Systems, while US-headquartered, has a strong and growing presence in Europe, with key installations and development teams in Germany and across the EU. They offer a comprehensive AI platform built around their unique Reconfigurable Dataflow Unit (RDU), which is designed to accelerate both training and inference for large language models and complex AI workloads.

SambaNova's ""AI is a Service"" model provides enterprises with pre-trained models and the hardware to run them, simplifying the adoption of generative AI. Their systems are known for their high memory capacity and performance, particularly for long-context models.

In Europe, SambaNova works with leading research centers, such as the Juelich Supercomputing Centre, to explore the integration of their dataflow architecture into large-scale HPC environments. Their focus on the full stack—from chips to models—positions them as a unique player in the European AI infrastructure market."
QCI (Quantum Computing Inc.),2025-03-20,info@quantumcomputinginc.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/human%20swing%20playground.svg,https://www.quantumcomputinginc.com/,USA/Germany,Global,60,2018,QCI Europe GmbH,Quantum Solutions & Photonic AI,Photonic Quantum Computing; Optimization;,Dirac systems; Entropy Quantum Computing;,Hardware; Software; Services;,Logistics; Cybersecurity; Finance;,"Quantum Computing Inc. (QCI) operates a European division focused on delivering accessible and practical quantum solutions. Their technology is based on photonic quantum computing and entropy quantum computing, which can run at room temperature and solve complex optimization problems.

QCI's flagship Dirac system is designed to handle high-dimensional calculations that are challenging for classical systems. In Europe, QCI focuses on industrial applications in logistics, supply chain management, and cybersecurity.

They provide a software platform that allows users to submit problems to their quantum hardware without needing deep expertise in quantum mechanics. By offering room-temperature, rack-ready systems, QCI is pushing the boundaries of where quantum technologies can be deployed, moving from specialized labs to standard data center environments."
Aon (Cyber & AI Risk),2025-02-15,ai-risk@aon.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/human%20barber%20shop%20haircut.svg,https://www.aon.com/,UK/Ireland,Global,50000,1982,Aon Plc,AI Risk Management & Insurance,AI Ethics; Model Validation; Cyber Risk;,Risk Analytics; AI Auditing;,Consulting; Insurance; Software;,Enterprise; Finance; Healthcare;,"Aon is a leading global professional services firm that has expanded its expertise into the realm of AI risk management and insurance. With a strong presence across Europe, Aon helps companies navigate the complexities of deploying AI, focusing on model reliability, bias detection, and regulatory compliance.

They offer specialized insurance products to protect against AI-related failures and liabilities. Aon's AI risk assessment tools use advanced analytics to evaluate the performance and safety of AI systems, providing organizations with the confidence to scale their AI initiatives.

Their consulting teams work with clients to build robust AI governance frameworks, ensuring alignment with European regulations like the AI Act. As AI becomes integral to business operations, Aon's role in mitigating associated risks is becoming increasingly critical for the European corporate sector."
Baidu (EU AI Research),2025-01-20,eu-research@baidu.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/building%20skyline.svg,https://www.baidu.com/,China/Germany,Global,45000,2000,Baidu Europe GmbH,AI Research & Autonomous Driving,NLP; Computer Vision; Autonomous Systems;,PaddlePaddle; Apollo; ERNIE;,R&D; Services; Software;,Automotive; Tech; Research;,"Baidu, the leading Chinese AI company, maintains a significant research presence in Europe through its German and pan-European labs. Their EU-based researchers focus on fundamental AI topics such as natural language processing, computer vision, and autonomous driving.

Baidu's open-source deep learning platform, PaddlePaddle, is increasingly used by European developers for building AI applications. The company also collaborates with European automotive companies on autonomous driving technology through its Apollo platform.

Baidu's European operations bridge the gap between Asian and European AI ecosystems, fostering international collaboration in high-end research. Their work in large-scale language models (ERNIE) and its application in different linguistic contexts is a key focus for their European teams, contributing to the global progress of AI technology."
Cognite,2024-12-15,info@cognite.com,https://www.cognite.com/hubfs/cognite-logo.svg,https://www.cognite.com/,Norway,Global,600,2016,Cognite AS,Industrial AI & Data Ops,Digital Twins; Data Fusion; IoT;,Cognite Data Fusion; ML Ops;,Software-as-a-Service; Services;,Energy; Manufacturing; Shipping;,"Cognite is a Norwegian leader in industrial AI software, providing the Cognite Data Fusion (CDF) platform to help heavy industries unlock the value of their data. CDF collects and contextualizes massive amounts of data from industrial operations—from sensors to 3D models—creating a comprehensive digital twin.

This data-ready foundation allows companies to build and scale AI applications for predictive maintenance, production optimization, and safety improvement. Cognite's technology is used by major global companies like Aker BP and Saudi Aramco to drive efficiency and sustainability in their operations.

The company is a key player in the European industrial tech scene, pushing the boundaries of how AI can be applied in complex, real-world environments. With a strong focus on data engineering and user-friendly interfaces, Cognite is making industrial data accessible and actionable for engineers and data scientists alike."
Terra,2024-11-10,contact@terra.ai,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/symbol%20toggle%20adjust.svg,https://www.terra.ai/,Spain,EU,50,2020,Terra AI Solutions SL,AI for Geo-Spatial Data,Environmental Monitoring; GIS AI; Satellite Imaging;,Deep Learning; Remote Sensing; Big Data;,Software; Services; API;,Environment; Agriculture; Public Sector;,"Terra is a Spanish AI company specializing in the analysis of geo-spatial and satellite data to monitor environmental changes and improve agricultural productivity. Their platform uses advanced deep learning algorithms to process high-resolution satellite imagery, identifying patterns and anomalies that are crucial for climate action and resource management.

Terra's solutions are used by governments and international organizations to track deforestation, monitor water levels, and optimize crop yields. Based in Madrid, the company leverages Spain's strong expertise in environmental science and remote sensing, collaborating with European space agencies and research centers.

Terra's mission is to provide the data-driven insights needed for sustainable land management and climate resilience, using AI to turn raw environmental data into actionable knowledge."
